gamename,year,month,avg,gain,peak,avg_peak_perc
Counter-Strike: Global Offensive,2021,February,741013.24,-2196.42,1123485,65.9567%
Counter-Strike: Global Offensive,2021,January,743209.66,25405.91,1124553,66.0893%
Counter-Strike: Global Offensive,2020,December,717803.75,49049.17,1164396,61.646%
Counter-Strike: Global Offensive,2020,November,668754.58,55087.89,1037464,64.4605%
Counter-Strike: Global Offensive,2020,October,613666.69,6816.37,943876,65.0156%
Counter-Strike: Global Offensive,2020,September,606850.32,-33107.34,977769,62.0648%
Counter-Strike: Global Offensive,2020,August,639957.66,14056.85,925348,69.1586%
Counter-Strike: Global Offensive,2020,July,625900.81,-45746.65,857560,72.9862%
Counter-Strike: Global Offensive,2020,June,671647.46,-97147.79,1009467,66.5349%
Dota 2,2019,July,464787.61,-42740.82,779160,59.6524%
Dota 2,2019,June,507528.44,-40994.74,865374,58.6485%
Dota 2,2019,May,548523.18,28304.2,997341,54.9986%
Dota 2,2019,April,520218.98,-66286.87,971545,53.5455%
Dota 2,2019,March,586505.85,21596.18,1033925,56.7262%
Dota 2,2019,February,564909.67,89162.67,964921,58.5447%
Dota 2,2019,January,475747,36379.17,874888,54.378%
Dota 2,2018,December,439367.83,-21705.66,765422,57.402%
Dota 2,2018,November,461073.48,29899.57,826053,55.8165%
Dota 2,2018,October,431173.91,-35296.83,739643,58.2949%
Dota 2,2018,September,466470.74,-9630.34,826166,56.4621%
Dota 2,2018,August,476101.08,34386.73,829281,57.4113%
Dota 2,2018,July,441714.35,-32185.65,701582,62.9598%
Dota 2,2018,June,473900,-425.87,796886,59.469%
Dota 2,2018,May,474325.87,43984.93,844713,56.1523%
Dota 2,2018,April,430340.94,-6921.4,733214,58.6924%
Dota 2,2018,March,437262.35,-1585.37,773897,56.5014%
Dota 2,2018,February,438847.72,-48014.2,779299,56.3131%
Dota 2,2018,January,486861.91,-26212.42,778627,62.5283%
Dota 2,2017,December,513074.33,25693.09,864939,59.3191%
